cik,fund_rows,fund_aum,distinct_brand_eids,brand_eid,brand_name,brand_canonical_name,brand_entity_type
0000005506,891,537659425859.04987,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000814679,117543,529413338784.6002,12,1013,"AST Investment Services, Inc.","Clearbridge Investments, LLC",institution
0000798244,4487,516147231935.3802,1,17,MFS Investment Management,MFS Investment Management,institution
0001816125,167787,507161660820.91144,1,7,,Dimensional Fund Advisors,institution
0001532203,33024,497296786606.241,1,1,,Vanguard Group,institution
0001485894,64846,483706894312.00073,1,21,JPMorgan Asset Management,JPMorgan Asset Management,institution
0000915092,40245,471526563708.27045,2,3586,BlackRock Fund Advisors,BLACKROCK ADVISORS LLC,institution
0000914036,137994,465153441892.91003,26,297,Milliman Financial Risk Management LLC,TEMPLETON INVESTMENT COUNSEL LLC,institution
0000004405,962,461737123204.75995,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000906352,10935,460098269056.7399,1,901,"First Eagle Investment Management, LLC","First Eagle Investment Management, LLC",institution
0000313212,13949,439831201409.9601,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
0000225997,107318,436022739012.9111,1,1,,Vanguard Group,institution
0001006415,40269,427449525307.2498,4,2984,Hartford Funds Management Co LLC,Hartford Funds Management Co LLC,institution
0000107606,1616,424368807438.92017,2,11220,"Pzena Investment Management, LLC",WELLINGTON MANAGEMENT GROUP LLP,institution
0001724826,32452,424186956950.22,5,1589,J.P. Morgan Private Investments Inc.,"PGIM, Inc.",institution
0001107414,78713,413813250270.7597,2,7984,State Street / SSGA,STATE STREET CORP,institution
0001537151,298,410847742472.66003,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0001067839,101,406974215192.0899,1,4,Invesco,Invesco,institution
0000822977,89296,403667147026.12036,3,22,Goldman Sachs Asset Management,Goldman Sachs Asset Management,institution
0000106444,37326,398791746701.08044,2,1,Vanguard Group,Vanguard Group,institution
0001413032,31414,398622012446.1896,12,379,Ameriprise Financial,WESTFIELD CAPITAL MANAGEMENT CO LP,institution
0000858744,4340,388553360465.12976,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0000896162,59088,382541742412.95013,1,5026,Dimensional Fund Advisors,DIMENSIONAL FUND ADVISORS LP,institution
0001174610,75990,368953635130.76044,2,5022,ProShare Advisors LLC,ProShare Advisors LLC,institution
0000826473,1882,361427332224.38,2,4375,Wellington Management,VANGUARD GROUP INC,institution
0001209466,17565,359173175609.3067,1,4,Invesco,Invesco,institution
0000722574,14900,358127257116.3802,2,2400,Fidelity / FMR,Fidelity Management & Research Co LLC,institution
0000844779,101781,357165766966.8203,4,2,BLACKROCK ADVISORS LLC,BlackRock / iShares,institution
0001073330,3108,351499253046.49023,1,12,Capital Group / American Funds,Capital Group / American Funds,institution
0001557156,15139,343290463691.9597,7,22,Goldman Sachs Asset Management,Goldman Sachs Asset Management,institution
0000935015,7694,340699035268.73,1,59,Artisan Partners,Artisan Partners,institution
0001350487,135228,336458102169.12976,5,2489,"WisdomTree Asset Management, Inc.","Voya Financial, Inc.",institution
0000038721,2409,335448367792.37964,1,1355,FRANKLIN ADVISERS INC,FRANKLIN ADVISERS INC,institution
0000793347,2348,330953515336.7503,1,3616,T. Rowe Price,PRICE T ROWE ASSOCIATES INC /MD/,institution
