investor_name,ciks,positions,aum_mm,total_shares
"Linscomb Wealth, Inc.",1,299,2382.2,24573962
Bpifrance SA,1,2,2365.8,205297810
"CAS Investment Partners, LLC",1,5,2337.1,16652169
"Moors & Cabot, Inc.",1,826,2336.1,29458265
"Meeder Advisory Services, Inc.",1,641,2329.4,26393679
"Sofinnova Investments, Inc.",1,57,2319.3,41812019
Port Capital LLC,1,81,2318.7,15857089
"GenTrust, LLC",1,267,2318.4,21125827
Ninety One SA (Pty) Ltd,1,91,2315.0,21012665
StoneX Group Inc.,1,819,2304.5,38601570
Hbk Investments L P,1,6,2299.3,49876132
Maseco LLP,1,521,2297.1,42468488
"IFG Advisory, LLC",1,708,2295.1,28839458
Fullerton Fund Management Co Ltd.,1,119,2287.1,13903498
Portman Square Capital LLP,1,86,2261.3,198220991
"Rakuten Group, Inc.",1,4,2259.8,31247340
Ag2r la Mondiale Gestion D'actifs,1,355,2258.4,13822215
"RBF Capital, LLC",1,503,2253.0,61052323
Css LLC /IL/,1,656,2249.8,787921166
Cambiar Investors LLC,1,139,2238.3,29530458
First Horizon Corp,1,1412,2237.2,16442678
SouthState Corp,1,1256,2235.3,17937957
Coronation Fund Managers Ltd.,1,51,2230.0,61349988
Csenge Advisory Group,1,634,2210.7,33925898
Elm Partners Management LLC,1,152,2204.0,32520972
"EcoR1 Capital, LLC",1,26,2204.0,87719353
Ruffer LLP,1,145,2196.5,67685759
Montag A & Associates Inc,1,898,2191.5,13100725
Obermeyer Wealth Partners,1,282,2188.3,13894522
"Aristotle Atlantic Partners, LLC",1,90,2185.8,14462160
"NLB Skladi, upravljanje premozenja, d.o.o.",1,315,2185.7,15825911
Greylock XIV GP LLC,1,1,2183.2,58420365
Regents of the University of California,1,5,2173.9,27193949
Brooklyn Investment Group,1,1424,2168.4,30487253
"Strategic Financial Services, Inc.",1,138,2167.7,31582456
"Zions Bancorporation, National Association /UT/",1,1158,2164.2,17392761
"Ausdal Financial Partners, Inc.",1,814,2155.3,35812704
Heard Capital LLC,1,21,2130.0,11910619
Berkley W R Corp,1,95,2125.3,146114219
"PFG Investments, LLC",1,985,2122.6,39478277
"Sound Income Strategies, LLC",1,2125,2113.5,65001113
"Mason Investment Advisory Services, Inc.",1,78,2107.6,24035572
Investment House LLC,1,207,2104.0,14165816
Woodley Farra Manion Portfolio Management Inc,1,113,2099.4,12599220
"Empirical Finance, LLC",1,469,2096.4,17191939
Y.D. More Investments Ltd,1,442,2088.1,75779135
"Voss Capital, LP",1,48,2084.4,88397916
Campbell & CO Investment Adviser LLC,1,1042,2083.3,46855308
"Concentric Capital Strategies, LP",1,237,2080.1,23005920
Harvard Management Co Inc,1,19,2079.3,16166444
"Klingman & Associates, LLC",1,322,2073.1,26326815
Gobi Capital LLC,1,13,2062.3,12690085
"Kinetic Partners Management, LP",1,41,2061.4,18028350
"RGM Capital, LLC",1,16,2059.8,28869450
"Garde Capital, Inc.",1,201,2053.4,20348470
CenterBook Partners LP,1,505,2046.5,106290137
Alerus Financial NA,1,489,2044.4,22153973
Consulta Ltd,1,14,2037.9,19586435
